SIZE-3year,GR-PROFIT-MARGIN-3year,CAPITAL-EMPLOYED-TURNOVER-3year,STOCKHOLDERS-EQUITY-TURNOVER-3year,CAPITAL-EMPLOYED/NET-FIXED-ASSETS-3year,DEBT/EQUITY-3year,EQUITY/CAPITAL-EMPLOYED-3year,WORKING-CAPITAL/TOTAL-ASSETS-3year,AV-COLLECTION-PERIOD-FOR-RECIEVABLES-3year,AV-PAYMENT-PERIOD-3year,AV-TURNOVER-PERIOD-FOR-INVENTORIES-3year,final
17.048357,11.394002,8.553323,9.782489,0.545139,22.955679,0.87435,-0.338667,431.196373,307.433926,59.958526,Bankrupted
17.777371,5.022056,0.405121,0.405121,1.33546,0.676128,1,0.073301,61.828454,134.429902,365.416021,Bankrupted
11.855231,6.372713,2.939412,2.939412,50.054526,2.089913,1,0.192623,188.64515,29.310724,109.392223,Bankrupted
13.911165,16.481641,5.661395,5.66136,13.304319,6.360569,1.000006,0.101952,357.85015,239.631257,0,Bankrupted
14.93396,24.877081,6.295984,6.295984,0.855904,5.916377,1,-0.079627,232.387033,173.791784,58.048552,Bankrupted
13.742265,38.30736,6.122324,6.122324,0.526064,5.637259,1,-0.283839,11.847126,245.600517,0,Bankrupted
15.120019,19.436701,6.702978,6.702978,63.768465,5.352133,1,0.14074,311.93363,29.927636,32.670675,Bankrupted
15.462392,41.984756,2.929238,3.444128,8.899379,5.071541,0.850502,0.14212,395.909792,202.877588,176.986379,Bankrupted
14.943006,33.950649,3.966549,4.106046,0.779867,2.934025,0.966026,-0.133341,165.18892,26.032529,63.566507,Bankrupted
18.084061,-71.787466,0.021042,0.038628,2.817719,1.143367,0.544736,0.521513,2089.152419,1686.274746,771.431076,Bankrupted
13.230511,35.94596,4.856537,4.856537,11.194818,2.30425,1,0.162662,92.735684,83.133184,207.570069,Bankrupted
15.388187,12.896481,30.602346,35.911546,5.438206,18.30931,0.852159,0.040169,149.678066,118.856837,34.535917,Bankrupted
14.109318,14.424671,14.855561,23.572844,1.091871,10.007714,0.630198,-0.114328,53.698296,112.57553,13.234921,Bankrupted
13.071884,32.754268,2.835608,3.47904,15.876748,3.27797,0.815055,0.195224,156.132533,82.167819,189.919963,Bankrupted
15.228073,16.067266,12.067761,12.185461,3.030303,7.885534,0.990341,0.064954,177.640218,162.310664,35.104031,Bankrupted
15.929209,10.659605,1.459117,7.77549,1.783445,40.465741,0.187656,-0.479804,380.865389,18.569982,655.503363,Bankrupted
15.71231,35.849503,0.808673,0.929762,1.815936,1.009124,0.869764,0.149248,214.213489,128.226445,374.977436,Bankrupted
14.219207,7.172148,20.604506,21.139379,3.711184,7.645507,0.974698,0.024764,48.132857,6.973097,37.130655,Bankrupted
12.148851,15.448807,-11.338067,-9.061035,-0.517687,-11.793217,1.251299,-0.675704,0,0,101.821508,Bankrupted
14.21983,24.827902,5.378844,5.378844,0.737521,2.183476,1,-0.369064,83.325448,85.034998,0,Bankrupted
19.309802,2.965355,0.073897,11.368387,1.063672,155.067102,0.0065,0.002331,90.904104,52.592845,256.39776,Bankrupted
14.715864,14.908827,3.825538,3.825538,1.106286,3.837996,1,0.003016,237.737177,245.101349,15.257944,Bankrupted
15.182899,3.265915,37.6616,57.30431,5.915511,7.699829,0.657221,-0.022451,18.133152,40.040302,13.531381,Bankrupted
14.363132,30.070256,8.529159,8.529159,19.982467,6.969063,1,0.120952,18.838792,139.734664,294.408036,Bankrupted
16.244218,4.904213,0.462587,0.900342,0.854251,1.430892,0.51379,-0.189309,134.333736,191.126574,88.745267,Bankrupted
15.919981,27.008409,0.32309,0.410879,1.042048,0.658483,0.786338,-0.0838,336.470161,274.149436,30.104752,Bankrupted
14.796652,12.759217,13.37258,13.37258,1.248299,2.842749,1,0.053477,55.635114,68.178439,12.90706,Bankrupted
11.563343,58.625911,5.041098,5.041098,0.607574,1.88611,1,-0.356581,0,292.17287,11.338217,Bankrupted
16.029913,95.891219,0.029437,0.029437,0.738583,1.076538,1,-0.171298,6421.704102,706662.6066,438.209598,Bankrupted
11.669031,33.575171,7.295604,7.295604,4.184411,5.791742,1,0.037914,117.613984,221.530605,14.021845,Bankrupted
12.385001,22.47347,10.713602,11.319859,1.751444,3.466723,0.946443,-0.046194,17.306926,101.2221,0,Bankrupted
14.997842,26.528375,4.808706,4.830064,1.198913,1.92615,0.995578,-0.042221,99.925413,85.53366,12.888469,Bankrupted
13.842263,26.339612,1.266739,1.266739,2.544519,0.80045,1,0.243414,38.214938,288.497873,481.479454,Bankrupted
15.23283,38.3538,3.239799,3.325871,0.723852,3.120688,0.974121,-0.123641,171.66614,394.884841,121.032998,Bankrupted
13.324138,-82.093163,11.149663,11.165419,1.747242,3.236004,0.998589,0.111951,37.570418,43.979762,23.491716,Bankrupted
12.920208,66.498853,2.095835,9.45019,8.793342,6.546564,0.221777,0.29798,8.180254,0,0,Bankrupted
14.737367,3.029591,13.845304,13.845337,1.666012,5.112318,0.999998,0.058795,87.668024,122.286888,47.956521,Bankrupted
12.571295,48.953856,26.240844,26.240844,1.530695,4.001903,1,0.04199,10.662499,0,0,Bankrupted
9.729313,5.29695,0.037077,0.037077,7.944681,0,1,0.87038,5186.749599,0,0,Bankrupted
13.465346,21.081071,10.608037,10.608037,2.800638,7.645738,1,0.047717,193.380524,118.339951,100.188754,Bankrupted
13.73385,47.577021,5.79044,5.798661,2.672505,3.497864,0.998582,-0.0593,53.082825,252.062398,299.560352,Bankrupted
16.409273,21.3059,0.257302,-13.532364,24.694009,-83.318366,-0.019014,0.587538,1672.211982,1026.399745,352.171942,Bankrupted
16.068644,8.840226,-15.864938,-15.10662,-1.100867,-31.531997,1.050198,-0.108848,341.293296,240.89589,6.587773,Bankrupted
17.563857,35.068122,0.031532,0.032106,0.969242,0.283199,0.982113,-0.075184,706.076352,2013.784757,153.19427,Bankrupted
15.592639,16.976816,0.994032,1.481663,1.098143,1.307193,0.67089,-0.707476,56.924955,43.71254,186.617256,Bankrupted
14.129636,16.284638,2.36339,2.624813,71.734242,2.162848,0.900403,0.307115,350.795271,79.83003,100.013418,Bankrupted
15.459032,20.307586,9.006494,9.558501,1.32266,5.256145,0.94225,-0.220527,104.261199,107.756543,114.461395,Bankrupted
14.651543,13.526339,1.690479,1.690478,1.291937,1.524071,1.000001,-0.363396,85.498077,95.569593,171.659408,Bankrupted
15.540541,23.104083,0.566878,0.662084,1.675168,1.040971,0.856201,-0.144475,189.876745,170.526049,390.881036,Bankrupted
17.04999,22.93,4.61,4.69,3.25,1.53,0.98,0.142637,115,55,13,Non-Bankrupted
10.916415,2.38,7.430792,9.03342,6.307921,5.828191,0.923116,-0.653678,20,100,3,Non-Bankrupted
13.4404,12.55,2.04,2.04,3.69,0.28,1,0.571875,246.97897,5446.683763,90,Non-Bankrupted
11.565546,93.13,1.48,1.48,16.64,1.13,1,0.43642,268,3616,2323,Non-Bankrupted
15.206958,11.83,0.31,0.39,1.08,0.63,0.81,0.056956,124,417,166,Non-Bankrupted
12.137092,25.208568,0.03,0.03,24.45,5.828191,1,0.958917,246.97897,5446.683763,184.373027,Non-Bankrupted
14.39767,50.05,3.86,3.87,5.95,3.27,1,0.150847,344,189,184.373027,Non-Bankrupted
16.333511,13.97,2.78,2.82,8.27,2.15,0.99,0.18059,317,212,33,Non-Bankrupted
16.42307,25.68,0.29,0.29,18.53,0.09,1,0.014448,98,77,42,Non-Bankrupted
14.636128,17.67,23.24,26.04,3.32,11.16,0.89,0.062943,117,102,53,Non-Bankrupted
15.35182,6.79,5.41,6.3,40.55,2.13,0.86,0.362783,66,97,58,Non-Bankrupted
14.569778,37.71,81.88,81.87,0.62,95.49,1,-0.011289,210,454,323,Non-Bankrupted
